day,price,,,
26/8/19,24.70861,,,
26/8/19,24.3132,,,
26/8/19,25.10003,,,
26/8/19,28.53721,,,
26/8/19,30.23298,,,
26/8/19,29.33446,,,
26/8/19,25.00342,,,
26/8/19,26.40816,,,
26/8/19,28.565,,,
26/8/19,30.64738,,,
26/8/19,32.46815,,,
26/8/19,35.49368,,,
26/8/19,36.92115,,,
26/8/19,40.33766,,,
26/8/19,44.1655,,,
26/8/19,51.14138,,,
26/8/19,73.97606,,,
26/8/19,78.78897,,,
26/8/19,48.99447,,,
26/8/19,38.82398,,,
26/8/19,33.22314,,,
26/8/19,31.68092,,,
27/8/19,29.96691,,,
27/8/19,27.74845,,,
27/8/19,27.23087,,,
27/8/19,26.83233,,,
27/8/19,27.52872,,,
27/8/19,29.90812,,,
27/8/19,35.46273,,,
27/8/19,30.53708,,,
27/8/19,25.38316,,,
27/8/19,26.58468,,,
27/8/19,28.50414,,,
27/8/19,33.2331,,,
27/8/19,35.75123,,,
27/8/19,37.52574,,,
27/8/19,41.06126,,,
27/8/19,44.65128,,,
27/8/19,51.38712,,,
27/8/19,60.86443,,,
27/8/19,67.82878739,,,
27/8/19,68.24620583,,,
27/8/19,61.69056,,,
27/8/19,45.17921,,,
27/8/19,37.96368,,,
27/8/19,34.51959,,,
28/8/19,32.68701,,,
28/8/19,30.18178,,,
28/8/19,29.73285,,,
28/8/19,29.00958,,,
28/8/19,29.61652,,,
28/8/19,34.01186,,,
28/8/19,39.03661,,,
28/8/19,32.188,,,
28/8/19,25.11004,,,
28/8/19,25.40462,,,
28/8/19,27.41107,,,
28/8/19,29.99752,,,
28/8/19,32.30397,,,
28/8/19,35.24641,,,
28/8/19,39.00356,,,
28/8/19,39.47095,,,
28/8/19,43.70508,,,
28/8/19,49.9546,,,
28/8/19,72.44576693,,,
28/8/19,79.11799,,,
28/8/19,55.05029,,,
28/8/19,44.49019,,,
28/8/19,37.96388,,,
28/8/19,34.48875,,,
29/8/19,32.47963,,,
29/8/19,30.13885,,,
29/8/19,28.04132,,,
29/8/19,27.08188,,,
29/8/19,27.79719,,,
29/8/19,33.32128,,,
29/8/19,36.96238,,,
29/8/19,32.29855,,,
