day,price
1/4/21,34.72611
1/4/21,38.49426
1/4/21,44.37297
1/4/21,40.73338
1/4/21,29.40138
1/4/21,19.89377
1/4/21,15.45327
1/4/21,15.97178
1/4/21,16.59209
1/4/21,19.97667
1/4/21,24.35193
1/4/21,27.80164
1/4/21,30.54917
1/4/21,39.86131
1/4/21,64.00223
1/4/21,67.38746512
1/4/21,62.63279
1/4/21,47.77642
1/4/21,41.45475
1/4/21,38.32527
2/4/21,37.94656
2/4/21,36.42924
2/4/21,33.19234
2/4/21,32.06383
2/4/21,33.17727
2/4/21,38.44922
2/4/21,42.26786
2/4/21,38.97085
2/4/21,29.25166
2/4/21,17.53937
2/4/21,17.40369
2/4/21,18.00424
2/4/21,13.70546
2/4/21,14.89209
2/4/21,14.51546
2/4/21,17.73265
2/4/21,24.99491
2/4/21,31.28159
2/4/21,45.86782
2/4/21,62.58515
2/4/21,49.04596
2/4/21,45.77522
2/4/21,40.47718
2/4/21,38.03889
3/4/21,39.72152
3/4/21,38.38383
3/4/21,37.72063
3/4/21,34.85086
3/4/21,36.55734
3/4/21,38.87634
3/4/21,42.14658
3/4/21,34.27836
3/4/21,24.85413
3/4/21,15.66608
3/4/21,18.33962
3/4/21,9.022414843
3/4/21,10.46741559
3/4/21,10.16691841
3/4/21,10.05789804
3/4/21,9.851943678
3/4/21,10.30302231
3/4/21,26.43511
3/4/21,45.64989
3/4/21,56.02
3/4/21,45.91411
3/4/21,40.75222
3/4/21,39.44179
3/4/21,37.85057
4/4/21,35.04501
4/4/21,33.83185
4/4/21,31.94346
4/4/21,30.88602
4/4/21,33.33258
4/4/21,36.60716
4/4/21,38.09968
4/4/21,32.17993
4/4/21,10.56193608
4/4/21,9.780716365
4/4/21,9.704932151
4/4/21,11.01959219
4/4/21,9.090486336
4/4/21,11.85656866
4/4/21,10.69009015
4/4/21,10.08152271
4/4/21,10.37229772
4/4/21,22.26844
4/4/21,42.78111
4/4/21,50.41056
4/4/21,44.63366
4/4/21,42.00093
4/4/21,39.08695
4/4/21,34.22452
5/4/21,27.90677
5/4/21,28.55901
5/4/21,28.45965
5/4/21,28.80119
5/4/21,31.46113
5/4/21,38.84942
5/4/21,45.2071
5/4/21,36.91579
5/4/21,20.726
5/4/21,9.004996483
5/4/21,9.485461839
5/4/21,11.17347729
5/4/21,11.5015649
5/4/21,9.741753916
5/4/21,10.34302546
5/4/21,10.71283161
5/4/21,15.94841
5/4/21,30.95247
5/4/21,45.56363
5/4/21,60.77302
5/4/21,49.15752
5/4/21,43.00736
5/4/21,39.72762
5/4/21,35.83123
6/4/21,33.78031
6/4/21,30.8333
6/4/21,29.45829
6/4/21,29.55383
6/4/21,31.49897
6/4/21,39.2671
6/4/21,46.09201
6/4/21,42.46041
6/4/21,26.22574
6/4/21,17.12293
6/4/21,12.68275
6/4/21,10.2764781
6/4/21,11.12317946
6/4/21,9.496745774
6/4/21,10.10651674
6/4/21,12.84819
6/4/21,15.85739
6/4/21,29.66826
6/4/21,45.86067
6/4/21,57.74524
6/4/21,49.05699
6/4/21,43.18141
6/4/21,40.95573
6/4/21,38.00363
7/4/21,34.4855
7/4/21,31.84208
7/4/21,31.13832
7/4/21,31.55532
7/4/21,34.39737
7/4/21,41.15475
7/4/21,46.45174
7/4/21,44.16242
7/4/21,26.53605
7/4/21,12.2638733
7/4/21,9.458670651
7/4/21,9.544183788
7/4/21,10.3114196
7/4/21,9.151692508
7/4/21,9.803459769
7/4/21,9.696206007
7/4/21,10.31249423
7/4/21,30.4925
7/4/21,42.52376
7/4/21,56.12183
7/4/21,47.21513
7/4/21,41.3808
7/4/21,40.09415
7/4/21,37.31431
8/4/21,35.40776
8/4/21,32.11582
8/4/21,31.17868
8/4/21,31.00344
8/4/21,34.17663
8/4/21,40.91172
8/4/21,44.49907
8/4/21,36.70436
8/4/21,24.41648
8/4/21,9.540948612
8/4/21,9.607291771
8/4/21,10.01292377
8/4/21,10.36930066
8/4/21,10.40674324
8/4/21,10.54967763
8/4/21,10.1755113
8/4/21,13.41306
8/4/21,27.52014
8/4/21,43.09448
8/4/21,57.64483
8/4/21,50.8691
8/4/21,43.25219
8/4/21,42.02298
8/4/21,37.22308
9/4/21,35.56015
9/4/21,33.34344
9/4/21,32.54616
9/4/21,33.7822
9/4/21,38.36577
9/4/21,40.48518
9/4/21,45.54529
9/4/21,46.0864
9/4/21,40.72297
9/4/21,21.20665
9/4/21,9.776766247
9/4/21,9.806592195
9/4/21,10.03723102
9/4/21,12.09250282
9/4/21,10.20121204
9/4/21,12.16041
9/4/21,12.27149
9/4/21,26.94222
9/4/21,41.70455
9/4/21,55.96767
9/4/21,49.61903
9/4/21,41.91949
9/4/21,38.19889
9/4/21,35.37807
10/4/21,36.80997
10/4/21,37.97998
10/4/21,32.94415
10/4/21,34.6953
10/4/21,37.5803
10/4/21,39.16313
10/4/21,40.61716
10/4/21,37.15484
10/4/21,11.88791807
10/4/21,9.288472773
10/4/21,10.35034676
10/4/21,9.956160792
10/4/21,9.58938557
10/4/21,10.0546305
10/4/21,12.28570761
10/4/21,9.653064637
10/4/21,9.654261045
10/4/21,24.54879
10/4/21,45.68332
10/4/21,53.15018
10/4/21,49.60166
10/4/21,44.29752
10/4/21,41.16952
10/4/21,38.61731
11/4/21,39.50183
11/4/21,39.40797
11/4/21,36.31995
11/4/21,35.10325
11/4/21,41.16612
11/4/21,45.44168
11/4/21,49.91377
11/4/21,47.9112
11/4/21,29.70416
11/4/21,22.37582
11/4/21,19.18177
11/4/21,16.96059
11/4/21,16.3793
11/4/21,19.82181
11/4/21,20.39621
11/4/21,22.4121
11/4/21,21.75726
11/4/21,31.52827
11/4/21,54.81792
11/4/21,64.37803
11/4/21,59.36842
11/4/21,50.17577
11/4/21,44.09795
11/4/21,40.66988
12/4/21,37.42036
12/4/21,35.03508
12/4/21,33.39068
12/4/21,34.08299
12/4/21,38.5244
12/4/21,44.4222
12/4/21,56.52373
12/4/21,43.68164
12/4/21,29.35723
12/4/21,22.58407
12/4/21,17.64109
12/4/21,16.2634
12/4/21,15.14995
12/4/21,16.34757
12/4/21,18.26172
12/4/21,18.82485
12/4/21,26.02211
12/4/21,33.693
12/4/21,57.28782
12/4/21,76.16291
12/4/21,67.39232
12/4/21,51.31123
12/4/21,42.92691
12/4/21,39.78502
13/4/21,37.07288
13/4/21,33.08251
13/4/21,31.72818
13/4/21,31.69552
13/4/21,34.37934
13/4/21,41.41974
13/4/21,54.56338
13/4/21,40.88418
13/4/21,30.20159
13/4/21,15.08756
13/4/21,9.179119151
13/4/21,10.69703237
13/4/21,10.40260333
13/4/21,9.341639609
13/4/21,10.48692163
13/4/21,9.297898194
13/4/21,14.20246
13/4/21,27.7016
13/4/21,50.82718
13/4/21,71.89062
13/4/21,65.61729
13/4/21,52.49968
13/4/21,43.75297
13/4/21,40.49629
14/4/21,37.48194
14/4/21,34.38288
14/4/21,33.90601
14/4/21,33.82423
14/4/21,37.35852
14/4/21,42.86174
14/4/21,50.17769
14/4/21,39.51291
14/4/21,27.83591
14/4/21,24.49763
14/4/21,9.787428806
14/4/21,10.30933858
14/4/21,10.00164358
14/4/21,9.990693854
14/4/21,10.13686654
14/4/21,9.646498008
14/4/21,20.22051
14/4/21,30.57642
14/4/21,47.27759
14/4/21,63.23859
14/4/21,63.75709
14/4/21,50.44328
14/4/21,46.54145
14/4/21,42.49486
15/4/21,42.23933
15/4/21,38.95696
15/4/21,38.24644
15/4/21,38.4234
15/4/21,42.60649
15/4/21,50.20969
15/4/21,56.54035
15/4/21,48.62762
15/4/21,32.67724
15/4/21,18.98751
15/4/21,11.29812
15/4/21,10.83778989
15/4/21,10.52483373
15/4/21,10.83030381
15/4/21,10.12684488
15/4/21,13.62592
15/4/21,20.95544
15/4/21,29.41917
15/4/21,50.13693
15/4/21,64.36902
15/4/21,63.55674
15/4/21,51.94854
15/4/21,49.48548
15/4/21,45.45465
16/4/21,47.39854
16/4/21,42.46947
16/4/21,40.93869
16/4/21,41.66491
16/4/21,45.00154
16/4/21,50.08762
16/4/21,61.4887
16/4/21,48.28327
16/4/21,30.98731
16/4/21,28.79851
16/4/21,24.46454
16/4/21,24.16084
16/4/21,22.24953
16/4/21,22.83392
16/4/21,23.34462
16/4/21,22.64232
16/4/21,24.40634
16/4/21,32.18832
16/4/21,50.20583
16/4/21,63.52873
16/4/21,60.56738
16/4/21,55.74854
16/4/21,48.16321
16/4/21,42.95578
17/4/21,42.49013
17/4/21,39.15407
17/4/21,38.89004
17/4/21,39.65813
17/4/21,42.73552
17/4/21,43.19849
17/4/21,45.99322
17/4/21,39.62867
17/4/21,27.06163
17/4/21,17.25829
17/4/21,11.0945065
17/4/21,9.988604951
17/4/21,9.879955176
17/4/21,10.5308935
17/4/21,18.66346
17/4/21,23.93821
17/4/21,28.56997
17/4/21,37.45993
17/4/21,71.97197542
17/4/21,73.29685308
17/4/21,71.30484963
17/4/21,57.61554
17/4/21,48.41336
17/4/21,45.48531
18/4/21,41.93967
18/4/21,39.35961
18/4/21,37.3467
18/4/21,36.02133
18/4/21,37.64458
18/4/21,37.6328
18/4/21,38.42019
18/4/21,31.61155
18/4/21,14.37449
18/4/21,9.902297124
18/4/21,11.26657538
18/4/21,9.729268473
18/4/21,9.38552271
18/4/21,10.34340425
